Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Japan,JPN,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..,..,13.6,13,13.1,13.8,13.2,13.2,13.5,14.2,13.9,13.8,13.8,14.3,12.9,12.9,12.3,11.4,10.5,10.1,10.2,9.2,..,..
Japan,JPN,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..,..,34.6,33.7,34.9,37.8,35.5,35.9,34.7,36.2,35.4,36.6,34.9,32.8,30.7,30.2,28.2,27.2,24.8,24.2,23.5,21.8,..,..
Japan,JPN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3,7.5,7.8,7.7,7.7,8.1,8.4,8.05,8.53,8.53,8.71,9.1,9.1,9.5,9.9,10,10.1,10.1,10.3,10.5,10.8,11,11,11.1,..
Japan,JPN,"Population ages 0-14, female",SP.POP.0014.FE.IN,9563389,9415482,9268400,9126335,9021855,8910849,8800893,8690637,8598839,8515507,8463087,8421074,8374067,8321810,8277190,8225217,8165949,8102183,8035159,7985455,7917649,7835235,7747606,7647241,7521269
Japan,JPN,"Population ages 0-14, male",SP.POP.0014.MA.IN,10086488,9930868,9775537,9625977,9515389,9398422,9283012,9167575,9072012,8983847,8928017,8883347,8834377,8781659,8732166,8675816,8613124,8547248,8479674,8425465,8352834,8265559,8173862,8070432,7936097
Japan,JPN,"Population ages 0-14, total",SP.POP.0014.TO,19649841,19346340,19043944,18752313,18537284,18309332,18083961,17858252,17670854,17499393,17391195,17304542,17208544,17103469,17009491,16901251,16779297,16649583,16514831,16411052,16270688,16101001,15921606,15717672,15457533
Japan,JPN,"Population ages 15-64, female",SP.POP.1564.FE.IN,43130153,43071779,42963481,42839220,42736040,42632297,42511460,42287796,42017934,41797207,41570784,41284635,40933588,40548737,40081298,39592692,39097031,38622584,38195060,37858879,37560901,37288399,37038459,36747158,36486758
Japan,JPN,"Population ages 15-64, male",SP.POP.1564.MA.IN,43903070,43874366,43797799,43707887,43615246,43524231,43419292,43215631,42973812,42759264,42545551,42278072,41952994,41604516,41137820,40659104,40183780,39739205,39349870,39013714,38718145,38450915,38212583,37941488,37668424
Japan,JPN,"Population ages 15-64, total",SP.POP.1564.TO,87033128,86946112,86761304,86547107,86351420,86156721,85930942,85503551,84991747,84556631,84116655,83563130,82886937,82153251,81219621,80252578,79281609,78362321,77544929,76873131,76279864,75740129,75251559,74688647,74155916
Japan,JPN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,11375133,11783691,12185065,12587381,12978169,13370380,13766451,14148188,14541693,14912658,15291655,15675525,16087526,16555986,16963837,17414552,17887816,18350685,18786503,19148811,19470480,19751935,20007622,20218755,20319237
Japan,JPN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,7998767,8323814,8640719,8956200,9282301,9608821,9936892,10251173,10568710,10885517,11201906,11520347,11864448,12257292,12640688,13061619,13497300,13914095,14294734,14643674,14951991,15218958,15452867,15635926,15749807
Japan,JPN,"Population ages 65 and above, total",SP.POP.65UP.TO,19374031,20107548,20825752,21543580,22260296,22978947,23703098,24399197,25110400,25797976,26493151,27195327,27951519,28813280,29603888,30475171,31384095,32264097,33081239,33791817,34421448,34969870,35459835,35854681,36068144
Japan,JPN,"Population, female",SP.POP.TOTL.FE.IN,64068675,64270952,64416945,64552936,64736064,64913526,65078804,65126621,65158465,65225372,65325526,65381234,65395181,65426533,65322325,65232461,65150796,65075452,65016722,64993146,64949030,64875568,64793688,64613154,64327265
Japan,JPN,"Population, male",SP.POP.TOTL.MA.IN,61988325,62129048,62214055,62290064,62412936,62531474,62639196,62634379,62614535,62628628,62675474,62681766,62651819,62643467,62510675,62396539,62294204,62200548,62124278,62082854,62022970,61935432,61839312,61647846,61354328
Japan,JPN,"Population, total",SP.POP.TOTL,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
Japan,JPN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
